no_cidade,nota,data_ref
"Amargosa","8.67036171011229","2011-12-31"
"Porteirão","1.68923838648609","2011-12-31"
"Descoberto","8.19133034379671","2011-12-31"
"Vicentina","10","2011-12-31"
"Lago do Junco","2.65782521968839","2011-12-31"
"Jussiape","10","2011-12-31"
"Porto Murtinho","6.15206253038633","2011-12-31"
"Sussuapara","9.98726305536825","2011-12-31"
"Acrelândia","10","2011-12-31"
"São José do Brejo do Cruz","9.80952380952381","2011-12-31"
"Amambai","8.19392537224892","2011-12-31"
"Maripá","10","2011-12-31"
"Centro do Guilherme","4.48658649398705","2011-12-31"
"Paudalho","2.02131258457375","2011-12-31"
"Itapuí","6.94444444444444","2011-12-31"
"Carmo do Cajuru","5.49003379543417","2011-12-31"
"Navegantes","4.5016003657979","2011-12-31"
"Nazaré","5.08213463502449","2011-12-31"
"Esperantinópolis","6.91056910569106","2011-12-31"
"Brasnorte","8.90887675339972","2011-12-31"
"Ferreiros","4.36076604554865","2011-12-31"
"Capitão Gervásio Oliveira","6.51695288419199","2011-12-31"
"Chorrochó","5.07246376811594","2011-12-31"
"Angra dos Reis","8.66984149399947","2011-12-31"
"Getúlio Vargas","8.41942860291484","2011-12-31"
"Esperança","10","2011-12-31"
"Pedro II","10","2011-12-31"
"São José das Missões","10","2011-12-31"
"Panamá","0.141093474426808","2011-12-31"
"Cornélio Procópio","7.97737200928515","2011-12-31"
"Coração de Maria","5.66747246843943","2011-12-31"
"Monte Azul Paulista","10","2011-12-31"
"Afuá","0.742323212705811","2011-12-31"
"Nossa Senhora do Socorro","5.99338442280788","2011-12-31"
"Passa-Vinte","10","2011-12-31"
"Moiporá","5.2257737189244","2011-12-31"
"Timóteo","6.2940953212817","2011-12-31"
"Barreiros","2.22271753532202","2011-12-31"
"Ingá","7.40545139805768","2011-12-31"
"Vale Real","8.22118702553485","2011-12-31"
"Jacarezinho","6.69831960154541","2011-12-31"
"Ji-Paraná","4.18140524970523","2011-12-31"
"Alto Alegre do Maranhão","2.47344981157931","2011-12-31"
"Silvianópolis","7.99737790888233","2011-12-31"
"Moeda","10","2011-12-31"
"Sucupira do Riachão","3.72872872872873","2011-12-31"
"São Vicente","3.8062470797663","2011-12-31"
"Brás Pires","9.14708154032881","2011-12-31"
"Formiga","7.52925722474325","2011-12-31"
"Ewbank da Câmara","10","2011-12-31"
"São Domingos","3.62618064454886","2011-12-31"
"Jardim Olinda","9.60025180988354","2011-12-31"
"Monte Alegre de Minas","9.70883240821891","2011-12-31"
"Paratinga","10","2011-12-31"
"São José do Bonfim","8.07649755018176","2011-12-31"
"Nilópolis","0.295029034190037","2011-12-31"
"Paineiras","8.59520313264807","2011-12-31"
"Mulungu do Morro","10","2011-12-31"
"Arraial","8.53715350570697","2011-12-31"
"Poção","4.56759489017553","2011-12-31"
"Ibitiúra de Minas","10","2011-12-31"
"Nova Aurora","7.38482384823848","2011-12-31"
"Santa Cruz do Xingu","10","2011-12-31"
"Presidente Dutra","2.03853511258614","2011-12-31"
"Santo Amaro das Brotas","2.97855440826052","2011-12-31"
"Santa Filomena do Maranhão","6.78164016886733","2011-12-31"
"Taiaçu","8.49576445431368","2011-12-31"
"Bom Jardim de Minas","10","2011-12-31"
"Serra Nova Dourada","10","2011-12-31"
"Itagi","7.66946191474493","2011-12-31"
"Jandaia do Sul","6.9229260639341","2011-12-31"
"Trindade","3.1474358974359","2011-12-31"
"Planaltina do Paraná","10","2011-12-31"
"Ibituruna","10","2011-12-31"
"Areia de Baraúnas","9.69025291275931","2011-12-31"
"Planaltina","0.387638828789846","2011-12-31"
"Palmeira do Piauí","2.82446311858077","2011-12-31"
"Marilândia do Sul","7.07806932296728","2011-12-31"
"São Francisco","6.61775943756686","2011-12-31"
"Santa Rita do Sapucaí","7.66560983811308","2011-12-31"
"Assaí","7.3265891926539","2011-12-31"
"Itaporanga","3.98099782893747","2011-12-31"
"São João de Iracema","9.9113197704747","2011-12-31"
"Dores de Campos","6.83291067906453","2011-12-31"
"Cabo Frio","7.05694806211481","2011-12-31"
"Naviraí","8.7575892196061","2011-12-31"
"Torre de Pedra","9.33159722222222","2011-12-31"
"Cachoeira Dourada","10","2011-12-31"
"Cravolândia","8.54866494401378","2011-12-31"
"São João do Ivaí","7.66160897739845","2011-12-31"
"Guaraçaí","8.55480841071619","2011-12-31"
"Pirassununga","4.03343388637506","2011-12-31"
"Santa Tereza","10","2011-12-31"
"Guairaçá","10","2011-12-31"
"Sagres","9.48656237464902","2011-12-31"
"Itaubal","5.46955624355005","2011-12-31"
"Campinápolis","5.02277048238051","2011-12-31"
"Senador Salgado Filho","10","2011-12-31"
"Canapi","4.15888705839282","2011-12-31"
"Morrinhos","8.82216420075428","2011-12-31"
"Itanhandu","10","2011-12-31"
"Uberaba","6.02084411564729","2011-12-31"
"Rio Crespo","6.68618838457784","2011-12-31"
"Itaara","5.66741237882178","2011-12-31"
"Agudos do Sul","7.90694757963381","2011-12-31"
"Baião","6.70335510637933","2011-12-31"
"Vargem Alegre","10","2011-12-31"
"Mirador","1.72513816372019","2011-12-31"
"Desterro","6.86117772448708","2011-12-31"
"Matozinhos","7.18938827939654","2011-12-31"
"Novo Horizonte do Norte","8.11020566550252","2011-12-31"
"Fama","10","2011-12-31"
"Jacuípe","9.1157158693613","2011-12-31"
"Peixe-Boi","2.69576379974326","2011-12-31"
"Ipubi","6.20710046674692","2011-12-31"
"Ferraz de Vasconcelos","6.03553800070325","2011-12-31"
"Itaquara","8.39598997493734","2011-12-31"
"Alpercata","6.56258448229251","2011-12-31"
"Olímpio Noronha","10","2011-12-31"
"Fartura do Piauí","10","2011-12-31"
"Sumé","10","2011-12-31"
"Jaboticaba","10","2011-12-31"
"Vitória Brasil","10","2011-12-31"
"Tarumã","8.04084237396299","2011-12-31"
"Itapiranga","8.82376882376882","2011-12-31"
"Mineiros do Tietê","6.50462962962963","2011-12-31"
"Canaã dos Carajás","3.03652692199267","2011-12-31"
"Passo do Sobrado","8.37315130830489","2011-12-31"
"Pracinha","10","2011-12-31"
"Jaramataia","9.91884580703336","2011-12-31"
"Cuitegi","9.29014583836919","2011-12-31"
"Novo Santo Antônio","10","2011-12-31"
"Mairipotaba","8.26400443704936","2011-12-31"
"Jundiaí do Sul","10","2011-12-31"
"Picada Café","10","2011-12-31"
"Bragança Paulista","6.45482543759513","2011-12-31"
"Santo Antônio do Planalto","10","2011-12-31"
"Espírito Santo do Pinhal","3.60173486705638","2011-12-31"
